p_column,threshold,pfa,pd
p_0.01,0.9270526031595411,1.0,1.0
p_0.01,0.9270547452503842,1.0,1.0
p_0.01,0.9270568873412273,1.0,1.0
p_0.01,0.9270590294320703,1.0,1.0
p_0.01,0.9270611715229135,1.0,1.0
p_0.01,0.9270633136137565,1.0,1.0
p_0.01,0.9270654557045995,1.0,1.0
p_0.01,0.9270675977954426,1.0,1.0
p_0.01,0.9270697398862857,1.0,1.0
p_0.01,0.9270718819771288,1.0,1.0
p_0.01,0.9270740240679718,1.0,1.0
p_0.01,0.9270761661588149,1.0,1.0
p_0.01,0.927078308249658,1.0,1.0
p_0.01,0.927080450340501,1.0,1.0
p_0.01,0.9270825924313442,1.0,1.0
p_0.01,0.9270847345221872,1.0,1.0
p_0.01,0.9270868766130302,1.0,1.0
p_0.01,0.9270890187038733,1.0,1.0
p_0.01,0.9270911607947164,1.0,1.0
p_0.01,0.9270933028855595,1.0,1.0
p_0.01,0.9270954449764025,1.0,1.0
p_0.01,0.9270975870672457,1.0,1.0
p_0.01,0.9270997291580887,1.0,1.0
p_0.01,0.9271018712489317,1.0,1.0
p_0.01,0.9271040133397749,1.0,1.0
p_0.01,0.9271061554306179,1.0,1.0
p_0.01,0.927108297521461,1.0,1.0
p_0.01,0.927110439612304,1.0,1.0
p_0.01,0.9271125817031471,1.0,1.0
p_0.01,0.9271147237939902,1.0,1.0
p_0.01,0.9271168658848332,1.0,1.0
p_0.01,0.9271190079756764,1.0,1.0
p_0.01,0.9271211500665194,1.0,1.0
p_0.01,0.9271232921573624,1.0,1.0
p_0.01,0.9271254342482056,1.0,1.0
p_0.01,0.9271275763390486,1.0,1.0
p_0.01,0.9271297184298917,1.0,1.0
p_0.01,0.9271318605207347,1.0,1.0
p_0.01,0.9271340026115779,1.0,1.0
p_0.01,0.9271361447024209,1.0,1.0
p_0.01,0.9271382867932639,1.0,1.0
p_0.01,0.9271404288841071,1.0,1.0
p_0.01,0.9271425709749501,1.0,1.0
p_0.01,0.9271447130657932,1.0,1.0
p_0.01,0.9271468551566363,1.0,1.0
p_0.01,0.9271489972474793,1.0,1.0
p_0.01,0.9271511393383224,1.0,1.0
p_0.01,0.9271532814291654,1.0,1.0
p_0.01,0.9271554235200086,1.0,1.0
p_0.01,0.9271575656108516,1.0,1.0
p_0.01,0.9271597077016946,1.0,1.0
p_0.01,0.9271618497925378,1.0,1.0
p_0.01,0.9271639918833808,1.0,1.0
p_0.01,0.9271661339742239,1.0,1.0
p_0.01,0.927168276065067,1.0,1.0
p_0.01,0.9271704181559101,1.0,1.0
p_0.01,0.9271725602467531,1.0,1.0
p_0.01,0.9271747023375961,1.0,1.0
p_0.01,0.9271768444284393,1.0,1.0
p_0.01,0.9271789865192823,1.0,1.0
p_0.01,0.9271811286101254,1.0,1.0
p_0.01,0.9271832707009685,1.0,1.0
p_0.01,0.9271854127918115,1.0,1.0
p_0.01,0.9271875548826546,1.0,1.0
p_0.01,0.9271896969734977,1.0,1.0
p_0.01,0.9271918390643408,1.0,1.0
p_0.01,0.9271939811551838,1.0,1.0
p_0.01,0.9271961232460268,1.0,1.0
p_0.01,0.92719826533687,1.0,1.0
p_0.01,0.927200407427713,1.0,1.0
p_0.01,0.9272025495185561,1.0,1.0
p_0.01,0.9272046916093992,1.0,1.0
p_0.01,0.9272068337002423,1.0,1.0
p_0.01,0.9272089757910853,1.0,1.0
p_0.01,0.9272111178819284,1.0,1.0
